Latitude, Heading, Longitude, Heading, Time, GPS Altitude, GPS Altitude Units, PMS 1.0, PMS 2.5, PMS 10.0, Gas ADC, Gas Oxidizing, Gas Reducing, Gas NH3, Noise Low, Noise Mid, Noise High, Noise Total, Temperature, Humidity, Pressure, Altitude, Lux, Proximity
5046.20405,N,00152.77902,W,185028.00,0.0,M,19,36,38,None,250467.6616915424,560000.0000000003,191389.55823293177,1.2030744574147274,0.3218974444214432,0.09327714751948785,0.5394163497852195,14.659712044871435,85.06463893337288,1016.575599470151,-27.65043834182978,1.16185,0
5046.20472,N,00152.78341,W,185029.00,0.0,M,19,36,38,None,250467.6616915424,560000.0000000003,190400.0,1.338090780595155,0.577635158630264,0.3032353693232465,0.7396537695162219,14.65554819861427,84.94020713164466,1016.598505354105,-27.8406333993098,1.16185,0
5046.20566,N,00152.78695,W,185030.00,0.0,M,19,35,37,None,250467.6616915424,553900.99009901,189418.32669322717,0.9074719420560741,0.2654011423753278,0.1013185971251474,0.4247305605188498,14.652345240085651,85.07514234203981,1016.5948182867094,-27.810018705322882,1.16185,0
5046.20639,N,00152.79067,W,185031.00,0.0,M,20,36,38,None,250467.6616915424,566222.2222222228,194406.50406504064,0.9353001302058056,0.32758380880623866,0.2941269585522435,0.5190036325214292,14.648501690001376,85.05783302042543,1016.6066480548354,-27.908244074686408,1.16185,0
5046.20686,N,00152.79483,W,185032.00,0.0,M,20,36,38,None,250467.6616915424,553900.99009901,190400.0,0.5642844028271985,0.18108062744090095,0.09051405910330083,0.27862636312380007,14.634408674426322,85.2705188197414,1016.5831268481918,-27.712941010145858,1.16185,0
5046.20736,N,00152.79868,W,185033.00,0.0,M,21,37,40,None,247448.275862069,553900.99009901,189418.32669322717,0.4628664444181055,0.18788079682297623,0.0929289791033288,0.24789207344813682,14.617112703774183,85.4208549554489,1016.5725038972964,-27.624734520274778,1.16185,0
5046.20798,N,00152.80253,W,185034.00,0.0,M,20,36,39,None,247448.275862069,579051.5463917528,194406.50406504064,1.0486964271965424,0.21235891466837728,0.127180291605765,0.4627452111568949,14.60013703209845,85.47541701002226,1016.5607564059791,-27.527189665191578,1.16185,0
5046.20861,N,00152.80612,W,185035.00,0.0,M,20,36,39,None,245960.78431372563,553900.99009901,189418.32669322717,0.5955570012868872,0.1913650359947332,0.11141392144609837,0.29944531957590625,14.594692006010973,85.75093009604724,1016.5665947422348,-27.575668186162304,1.16185,5
5046.20939,N,00152.80954,W,185036.00,0.0,M,18,32,35,None,248950.495049505,553900.99009901,189418.32669322717,0.6620678247048911,0.15040793303451644,0.06543242914813592,0.2926360622958478,14.586684615302715,85.90783233485843,1016.5582055764412,-27.50600882685321,1.16185,1
5046.21020,N,00152.81323,W,185037.00,0.0,M,19,33,37,None,247448.275862069,553900.99009901,189418.32669322717,0.9190152120676114,0.22587001235757173,0.03067515364092272,0.3918534593553686,14.575794565079764,85.56863679097687,1016.5566139818926,-27.492792983941733,1.16185,0
5046.21105,N,00152.81677,W,185038.00,0.0,M,21,33,37,None,245960.78431372563,553900.99009901,189418.32669322717,0.6240644024929755,0.13279106514643418,0.10956086065200506,0.28880544276380493,14.56426392509968,85.65193023571244,1016.5440025381151,-27.388072970485627,0.0,0
5046.21178,N,00152.82039,W,185039.00,0.0,M,21,33,38,None,245960.78431372563,560000.0000000003,193392.71255060736,0.7674019527877027,0.1361740999013874,0.10190178952104186,0.3351592807367107,14.562021856385764,86.00097859241191,1016.5452355634271,-27.398311529577168,1.16185,0
5046.21253,N,00152.82381,W,185040.00,0.0,M,20,33,37,None,244487.80487804886,553900.99009901,189418.32669322717,0.820792244203623,0.2425404635640591,0.0801817240643521,0.3811714772773447,14.55913919669258,86.32175427648428,1016.5453993873141,-27.399671858195056,1.16185,4
5046.21334,N,00152.82741,W,185041.00,0.0,M,21,36,41,None,244487.80487804886,553900.99009901,190400.0,0.6025210433340875,0.16850752308180258,0.10241609830304853,0.29114822157297954,14.557537719125047,86.49619281604858,1016.537751394605,-27.33616576923137,1.16185,0
5046.21430,N,00152.83090,W,185042.00,0.0,M,20,35,40,None,243029.12621359227,547921.5686274517,188444.4444444445,1.213440783527295,0.39479915184494024,0.15650282641326235,0.5882475872618326,14.56426392509968,86.89680234100561,1016.5423441651961,-27.374302475649337,1.16185,0
5046.21530,N,00152.83429,W,185043.00,0.0,M,21,38,42,None,244487.80487804886,553900.99009901,190400.0,0.5864865645758457,0.20503331011653456,0.2729384553412765,0.35481944334455223,14.568107471595999,87.00422392861745,1016.5288585616845,-27.2623225033562,1.16185,5
5046.21635,N,00152.83789,W,185044.00,0.0,M,21,37,41,None,243029.12621359227,547921.5686274517,192387.0967741936,0.7789342106728625,0.2961718387917919,0.08590656831444107,0.3870042059263652,14.57643515623297,87.02765713181097,1016.5410990969784,-27.363963893123554,1.16185,0
5046.21765,N,00152.84102,W,185045.00,0.0,M,21,38,41,None,243029.12621359227,553900.99009901,190400.0,0.5165776951162685,0.1651198793898759,0.05860107183455648,0.24676621544690028,14.589246980252051,87.22616389470988,1016.5392640687768,-27.34872648403425,0.0,3
5046.21895,N,00152.84383,W,185046.00,0.0,M,22,39,45,None,241584.54106280193,547921.5686274517,188444.4444444445,1.0349511931101603,0.3338510011564257,0.07281008616812387,0.4805374268115699,14.613269155190574,87.72436088411179,1016.5445284993757,-27.3924403479479,0.88715,7
5046.22029,N,00152.84693,W,185047.00,0.0,M,20,37,40,None,244487.80487804886,560000.0000000003,193392.71255060736,0.8403541871331055,0.30541873907366585,0.13589687618156768,0.42722326746277967,14.629604237801527,88.03023961676361,1016.5336446675401,-27.30206487436957,0.0,0
5046.22162,N,00152.84912,W,185048.00,0.0,M,21,38,42,None,240153.84615384627,547921.5686274517,192387.0967741936,0.7973435086318432,0.10535115475996887,0.06396285151926978,0.3222191716370273,14.661954116012566,88.34916371771726,1016.5328996791072,-27.295878726390896,0.88715,0
