GPS sentence prefix, Latitude, Heading, Longitude, Heading, Time, Data Valid, Checksum, PMS 1.0, PMS 2.5, PMS 10.0, Gas ADC, Gas Oxidizing, Gas Reducing, Gas NH3, Noise Low, Noise Mid, Noise High, Noise Total, Temperature, Humidity, Pressure, Altitude, Lux, Proximity
$GPGLL,5043.53341,N,00157.06721,W,072611.00,A,A*7B,5,6,6,None,11175.572519083971,494000.00000000023,592421.0526315796,0.33056362384330096,0.1251664193777839,0.11451519211650134,0.19008174511252873,21.709328480043247,54.631898840935136,1008.782210589834,37.26299379878714,121.8327,1243
$GPGLL,5043.52687,N,00157.06587,W,072612.00,A,A*78,4,5,5,None,11175.572519083971,504000.0000000006,599319.1489361702,0.37025243086753307,0.15603630126810955,0.06714552509992569,0.19781141907852276,21.689711118335616,54.70080999406847,1008.8651639468924,36.56991615426157,29.33155,1227
$GPGLL,5043.52076,N,00157.06381,W,072613.00,A,A*71,4,5,5,None,11248.908296943233,498954.9549549553,599319.1489361702,0.332975679657455,0.12203649194430148,0.15809091642631753,0.204367696009358,21.670093760858276,54.86241426658805,1008.949769672739,35.86308045140682,30.63515,1234
$GPGLL,5043.51472,N,00157.06147,W,072614.00,A,A*7D,4,5,5,None,11248.908296943233,498954.9549549553,599319.1489361702,0.2669015819531269,0.15623699552352957,0.25204420847577447,0.22506092865081032,21.661089073596692,54.96061443854975,1008.9917030495855,35.51276724702712,145.83215,1255
$GPGLL,5043.50897,N,00157.05875,W,072615.00,A,A*71,4,5,5,None,11248.908296943233,498954.9549549553,599319.1489361702,0.2574724374477097,0.12881475822166932,0.15676358030865628,0.18101692532601177,21.645009277132182,55.13388587303951,1009.077007330145,34.80016805893834,172.9722,1259
$GPGLL,5043.50299,N,00157.05661,W,072616.00,A,A*7D,4,5,5,None,11248.908296943233,494000.00000000023,606365.5913978496,0.30403447554475915,0.17093493339886237,0.20709681047738387,0.22735540647366848,21.636004592353515,55.15676176383806,1009.1454773753136,34.22823089353241,180.7349,1242
$GPGLL,5043.49729,N,00157.05413,W,072617.00,A,A*7D,4,5,5,None,11322.404371584702,498954.9549549553,606365.5913978496,0.34822165275292544,0.13242882049458685,0.08883284899609423,0.1898277740812022,21.6170304380591,55.13876084116957,1009.1813345559063,33.928724798095075,196.3789,1247
$GPGLL,5043.49180,N,00157.05126,W,072618.00,A,A*74,4,5,5,None,11322.404371584702,498954.9549549553,606365.5913978496,0.35928785972075605,0.13281725769817782,0.06832118530536574,0.18680876757476653,21.597734691987807,55.08020402976429,1009.1735447865705,33.99379006784682,184.2903,1246
$GPGLL,5043.48686,N,00157.04774,W,072619.00,A,A*75,4,5,5,None,11396.06126914661,484350.877192983,606365.5913978496,0.23390320116864644,0.11508830913920813,0.15818960764153636,0.16906037264979698,21.57779575868044,55.06217561357166,1009.2211145781288,33.5964622660097,192.29,1240
$GPGLL,5043.48210,N,00157.04450,W,072620.00,A,A*71,4,5,5,None,11396.06126914661,484350.877192983,606365.5913978496,0.22696809463338044,0.17559319240193647,0.283881826780318,0.2288143712718783,21.565896719917895,55.09653888620451,1009.2965310365705,32.966575601396066,241.307,1231
$GPGLL,5043.47820,N,00157.04111,W,072621.00,A,A*76,4,5,5,None,11396.06126914661,484350.877192983,606365.5913978496,0.18764179258044847,0.09709423779948802,0.1415697058079554,0.14210191206263065,21.56107278572781,55.10217281713598,1009.3683905708469,32.36643221884566,236.1424,1246
$GPGLL,5043.47498,N,00157.03703,W,072622.00,A,A*78,4,5,5,None,11396.06126914661,461647.05882352975,599319.1489361702,0.2102698797776437,0.17608111660202094,0.28595865623496186,0.22410321753820883,21.551424918115025,55.142398835504835,1009.427517812828,31.872650021472914,209.3267,1241
$GPGLL,5043.47309,N,00157.03333,W,072623.00,A,A*71,4,5,5,None,11396.06126914661,448918.0327868857,592421.0526315796,0.23156106177788052,0.15165998673199985,0.15098675987475496,0.1780692694615451,21.544993006941603,55.22326907607192,1009.4586418941444,31.612736647284933,244.1099,1257
$GPGLL,5043.47231,N,00157.03176,W,072624.00,A,A*7F,4,4,4,None,11396.06126914661,457333.3333333335,592421.0526315796,0.23887766522077172,0.1312458345948341,0.10044645493821117,0.15685665158460568,21.54788736691337,55.29865347757094,1009.4898327839533,31.35227187321042,244.7564,1276
$GPGLL,5043.47239,N,00157.03203,W,072625.00,A,A*77,4,4,4,None,11396.06126914661,470495.7264957265,585666.6666666671,0.21348338488380048,0.10222097564158085,0.10227775684749583,0.13932737245762572,21.55078172697722,55.333497915761896,1009.5011207306184,31.258011580920154,247.00595,1297
$GPGLL,5043.47234,N,00157.03175,W,072626.00,A,A*7B,4,4,4,None,11469.879518072292,479652.1739130438,585666.6666666671,0.2115211653122976,0.11931621685985316,0.1611031230890396,0.16398016842039678,21.55946480772129,55.3974924880188,1009.5067883833879,31.210684020842095,229.22645,1287
$GPGLL,5043.47240,N,00157.03150,W,072627.00,A,A*7E,4,6,8,None,11469.879518072292,475034.48275862087,585666.6666666671,0.2507747542475004,0.14275471706746357,0.1361534092373818,0.17656096018411527,21.576509376036483,55.432811438294266,1009.5159474880982,31.134201653534497,223.1586,1291
$GPGLL,5043.47241,N,00157.03134,W,072628.00,A,A*72,4,7,9,None,11469.879518072292,466033.8983050852,579051.5463917528,0.2292277819699127,0.1187055991369381,0.1360740877985995,0.16133582296848345,21.597413096254627,55.4682621035757,1009.5147233090647,31.144424029576083,240.3106,1282
$GPGLL,5043.47229,N,00157.03149,W,072629.00,A,A*77,4,7,9,None,11469.879518072292,475034.48275862087,579051.5463917528,0.27615549376324694,0.1463378788188184,0.0762733953875639,0.16625558932320975,21.611563309590043,55.323935890858486,1009.520885868829,31.09296433552548,241.10355,1273
$GPGLL,5043.47228,N,00157.03140,W,072630.00,A,A*77,4,7,9,None,11469.879518072292,475034.48275862087,572571.4285714285,0.21199313940958997,0.1720128237725828,0.2785757102645585,0.22086055781557712,21.615422459063506,55.15029312666262,1009.5171377703429,31.124262338622476,237.30425,1280
